Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
96,LTU,Lithuania,"12,000",2021[4],EIA,"2,786,652",2021[5],4306,491
118,LUX,Luxembourg,"6,500",2021[4],EIA,"639,330",2021[5],10167,1060
124,MAC,Macau,"5,600",2021[4],EIA,"686,616",2021[5],8156,930
149,MDG,Madagascar,"2,000",2021[4],EIA,"28,915,652",2021[5],69,8
156,MWI,Malawi,"1,000",2021[4],EIA,"19,889,742",2021[5],50,6
26,MYS,Malaysia,"151,000",2021[4],EIA,"33,573,872",2021[5],4498,513
173,MDV,Maldives,600,2021[4],EIA,"521,469",2021[5],1151,131
141,MLI,Mali,"2,700",2021[4],EIA,"21,904,990",2021[5],123,14
143,MLT,Malta,"2,500",2021[4],EIA,"526,751",2021[5],4746,541
174,MHL,Marshall Islands,562.40,2014 est.,EIA,"58,790",2019,9566,1091
150,MRT,Mauritania,"1,900",2021[4],EIA,"4,614,981",2021[5],412,47
140,MUS,Mauritius,"2,700",2021[4],EIA,"1,298,922",2021[5],2079,237
13,MEX,Mexico,"301,000",2021[4],EIA,"126,705,136",2021[5],2376,271
201,FSM,"Micronesia, Federated States of",125,2002 est.,EIA,"113,810",2019,1101,126
101,MDA,Moldova,"9,700",2021[4],EIA,"3,061,509",2021[5],3168,361
111,MNG,Mongolia,"7,800",2021[4],EIA,"3,347,782",2021[5],2330,266
139,MNE,Montenegro,"2,900",2021[4],EIA,"627,856",2021[5],4619,527
217,MSR,Montserrat,14.88,2018 est.,EIA,"5,267",2016,4061,463
61,MAR,Morocco,"35,000",2021[4],EIA,"37,076,588",2021[5],944,108
90,MOZ,Mozambique,"13,000",2021[4],EIA,"32,077,074",2021[5],405,46
77,MMR,Myanmar,"17,000",2021[4],EIA,"53,798,088",2021[5],314,36
133,NAM,Namibia,"3,400",2021[4],EIA,"2,530,150",2021[5],1345,153
214,NRU,Nauru,32.55,2018 est.,EIA,"12,580",2019,2587,295
115,NPL,Nepal,"7,200",2021[4],EIA,"30,034,988",2021[5],240,27
33,NLD,Netherlands,"113,000",2021[4],EIA,"17,501,696",2021[5],6457,737
164,ANT,Netherlands Antilles,800,2021[4],EIA,"211,871",2013,3776,431
135,NCL,New Caledonia,"3,300",2021[4],EIA,"287,809",2021[5],11466,1308
58,NZL,New Zealand,"41,000",2021[4],EIA,"5,129,730",2021[5],7993,912
128,NIC,Nicaragua,"4,900",2021[4],EIA,"6,850,546",2021[5],715,82
153,NER,Niger,"1,300",2021[4],EIA,"25,252,722",2021[5],51,6
67,NGA,Nigeria,"27,000",2021[4],EIA,"213,401,328",2021[5],127,14
218,NIU,Niue,7.44,2018 est.,EIA,"1,190",2016,1193,136
117,MKD,North Macedonia,"6,700",2021[4],EIA,"2,103,329",2021[5],3185,363
194,MNP,Northern Mariana Islands,200,2012 est.,EIA,"57,220",2019,3495,399
